Portuguese,Afrikaans
que,wat
não,geen
o,O
de,in
a,Die
é,dit is
você,jy
e,dit is
eu,ek
um,een
para,vir
está,dit is
uma,een
se,as
com,met
por,per
ele,hy
isso,daardie
em,in
do,van
me,ek
mas,maar
como,as
bem,goed
da,van die
no,by die
os,jy
ela,sy
na,by
sim,Ja
aqui,hier
mais,meer
tem,hy het
meu,my
seu,jou
muito,baie
foi,hy was
as,na die
vai,gaan
sua,jou
estou,Ek is
vamos,kom ons gaan
tudo,almal
minha,my
só,enigste
então,dan
pode,hy kan
agora,nou
vou,ek gaan
ser,om te wees
quando,wanneer
fazer,te doen
sei,weet
eles,hulle
nós,ons
tenho,ek het
te,jy
estava,hy was
certo,reg
quer,hy wil
sabe,hy weet
já,reeds
era,dit was
nos,ons
quem,WHO
ou,of
ao,na die
nada,enigiets
disse,hy het gesê
há,daar is
lá,daar
onde,waar
quero,ek wil
bom,goed
ter,om te hê
sou,vm
são,hulle is
dizer,om te sê
posso,ek kan
acho,ek dink
sobre,oor
mim,ek
porque,hoekom
mesmo,dieselfde
coisa,ding
todos,almal
estão,hulle is
algo,iets
até,tot
tempo,tyd
assim,soos hierdie
nunca,Nooit nie
vocês,jy
esse,daardie
casa,huis
quê,wat
essa,daardie
à,Die
ver, sien